Date,Host,Service,Content
"2026-03-06T13:42:36Z","pdv-loja-005","bad-logs","[06/03/2026 13:42:33] [PDV=005][OPERADOR] Msg='PIX REJEITADO - LIMITE_DIARIO_EXCEDIDO. Solicitar outra forma de pagamento.' | Opcoes=NOVA_FORMA,CANCELAR"
"2026-03-06T13:42:36Z","pdv-loja-005","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=005][PIX][PAGAMENTO] Pagamento PIX REJEITADO pelo PSP txid=PIX202603061342336266005 endToEndId=E6070119000000000000000006266 rc=-22 erro=LIMITE_DIARIO_EXCEDIDO msg=Conta do pagador com restricao valor_cents=1111400 banco_pagador=Santander"
"2026-03-06T13:42:36Z","pdv-loja-005","bad-logs","[06/03/2026 13:42:33] [PDV=005][PIX] Iniciando transacao PIX valor=11114 chave=cpf:123.456.789-00 txid=PIX202603061342336266005 nsu=891560"
"2026-03-06T13:42:36Z","pdv-loja-003","bad-logs","[06/03/2026 13:42:33] [PDV=003][OPERADOR] Msg='PIX REJEITADO - CHAVE_NAO_ENCONTRADA. Solicitar outra forma de pagamento.' | Opcoes=NOVA_FORMA,CANCELAR"
"2026-03-06T13:42:36Z","pdv-loja-003","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=003][PIX][PAGAMENTO] Pagamento PIX REJEITADO pelo PSP txid=PIX202603061342336265003 endToEndId=E0000020800000000000000006265 rc=-22 erro=CHAVE_NAO_ENCONTRADA msg=Conta do pagador com restricao valor_cents=736100 banco_pagador=Nubank"
"2026-03-06T13:42:36Z","pdv-loja-003","bad-logs","[06/03/2026 13:42:33] [PDV=003][PIX] Iniciando transacao PIX valor=7361 chave=cpf:666.555.444-33 txid=PIX202603061342336265003 nsu=891559"
"2026-03-06T13:42:36Z","pdv-loja-001","bad-logs","[06/03/2026 13:42:33] Analise de recursos PIX Gateway=== Conexoes PSP ===Pool Ativo: 10Pool Livre: 0Pool Maximo: 10Uso Pool (%): 87%=== Fila de Transacoes ===Pendentes: 6Processando: 5Timeout: 3=== Latencia ===Media DICT (ms): 388P95 DICT (ms): 1793Media PSP (ms): 948P95 PSP (ms): 2938=== Certificados ===mTLS PSP: Valido ate 2026-06-15mTLS BACEN: Valido ate 2026-09-20"
"2026-03-06T13:42:35.344Z","pdv-loja-003","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=003][PIX][DEVOLUCAO] Falha na devolucao PIX txid=PIX202603061342336264003 devolucaoId=D0118152100000000000000006264 rc=-12 erro=PSP_REJEITOU_DEVOLUCAO msg=O PSP do pagador rejeitou a devolucao: saldo insuficiente na conta transitoria / Exception: com.pix.exception.DevolucaoException: PSP_REJECTION saldo_transitoria_cents=392073 valor_solicitado_cents=587000	at com.pix.service.DevolucaoService.processaDevolucao(DevolucaoService.java:156)	at java.lang.Thread.run(Thread.java:1119)"
"2026-03-06T13:42:35.344Z","pdv-loja-003","bad-logs","[06/03/2026 13:42:33] [PDV=003][PIX][DEVOLUCAO] Solicitacao de devolucao PIX txid=PIX202603061342336264003 endToEndId=E0041696800000000000000006264 valor_devolucao_cents=587000 motivo=PRODUTO_DEFEITUOSO devolucaoId=D0118152100000000000000006264"
"2026-03-06T13:42:35.344Z","pdv-loja-005","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=005][PIX][TRANSACAO] Transacao PIX REJEITADA txid=PIX202603061342336263005 motivo=DICT_INDISPONIVEL rc=-6 valor_cents=1062700 tentativa=1/3"
